street,city,zipcode,no_rooms,size_in_sq_m,year_of_construction,price,sale_date_str
Algade 69,Spjald,6971,6,152,1927,2575000.0,29-04-2014
Brejninggårdsvej 1,Spjald,6971,7,201,1909,89145.0,26-04-2014
Brejninggårdsvej 14,Spjald,6971,10,344,2003,69630.0,26-04-2014
Sønderland 3,Spjald,6971,6,170,1930,600000.0,03-04-2014
Fengersvej 32,Spjald,6971,5,168,2014,200000.0,02-04-2014
Vestergade 35,Spjald,6971,4,104,1941,200000.0,18-03-2014
Ørnhøjvej 14,Spjald,6971,7,219,1976,1115000.0,16-03-2014
Tovstrupvej 30,Spjald,6971,6,130,1898,875000.0,07-03-2014
Sandbækvej 22,Spjald,6971,7,202,1912,1050000.0,07-03-2014
Kildsigvej 4,Spjald,6971,6,152,1977,1020000.0,06-03-2014
Skærmbjerg 3,Spjald,6971,6,123,1963,350000.0,20-02-2014
Grønbjergvej 24,Spjald,6971,7,256,1957,17759000.0,10-02-2014
Tarpgårdevej 3,Spjald,6971,8,300,1923,14700000.0,03-02-2014
Muldbjerg Byvej 15,Spjald,6971,7,120,1910,177416.0,03-02-2014
Højmosevej 18,Spjald,6971,6,134,1936,1325000.0,22-01-2014
Bøgevej 21,Spjald,6971,5,172,1965,280000.0,10-01-2014
Søndervang 12,Spjald,6971,5,145,1971,620000.0,10-01-2014
Vesterbækvej 3,Spjald,6971,6,149,1887,4970000.0,08-01-2014
Sandbækvej 7,Spjald,6971,4,147,2015,275000.0,09-12-2013
Hovedgaden 28,Spjald,6971,7,224,1919,782000.0,02-12-2013
Åkæret 18,Spjald,6971,5,145,1978,1000000.0,30-11-2013
Brejninggårdsvej 4,Spjald,6971,5,169,1925,300000.0,20-11-2013
Hovedgaden 7,Spjald,6971,11,242,1957,3365000.0,18-11-2013
Præstevej 8,Spjald,6971,4,84,1900,405000.0,18-11-2013
Tarpgårdevej 5,Spjald,6971,6,149,1896,30500000.0,12-11-2013
Møllebakken 3,Spjald,6971,4,86,1936,350000.0,12-11-2013
Væggerskildevej 11,Spjald,6971,6,162,1877,1710000.0,15-10-2013
Hovedgaden 21,Spjald,6971,7,238,1933,418560.0,23-09-2013
Muldbjergvej 9,Spjald,6971,8,216,1932,1705000.0,02-09-2013
Fengersvej 23,Spjald,6971,8,239,1982,1560000.0,20-08-2013
Kærhusvej 19,Spjald,6971,9,250,1914,753159.0,07-08-2013
Gl Landevej 22,Spjald,6971,4,116,1942,585000.0,11-07-2013
Skærmbjerg 4,Spjald,6971,4,119,1973,470000.0,31-05-2013
Hovedgaden 35,Spjald,6971,5,165,1937,1500000.0,30-05-2013
Sønderland 9,Spjald,6971,7,257,2015,912000.0,29-05-2013
Søndervang 11,Spjald,6971,4,120,1965,580000.0,23-05-2013
Hovervej 118,Spjald,6971,5,104,1961,44255.0,17-05-2013
Muldbjergvej 3,Spjald,6971,5,106,1948,200000.0,02-05-2013
Tarpgårdevej 11,Spjald,6971,4,115,1915,3980000.0,01-05-2013
Fengersvej 5,Spjald,6971,3,127,1980,590000.0,28-04-2013
Væggerskildevej 20,Spjald,6971,7,157,1901,2275000.0,19-04-2013
Bindesbølvej 2,Spjald,6971,4,95,1912,1360000.0,10-04-2013
Ølstrupvej 5,Spjald,6971,8,266,1877,12155000.0,09-04-2013
Ådalen 4,Spjald,6971,6,178,2014,317000.0,13-03-2013
"Hovedgaden 65A, 1",Spjald,6971,4,80,1931,85000.0,01-03-2013
Hovedgaden 69,Spjald,6971,5,80,1896,180000.0,01-03-2013
Algade 26,Spjald,6971,6,138,1928,325000.0,27-02-2013
Søndervang 2,Spjald,6971,5,141,1967,525000.0,22-02-2013
Engvang 13,Spjald,6971,3,109,1972,825000.0,29-12-2012
Sønderkjærsvej 2,Spjald,6971,8,200,1917,1059050.0,19-12-2012
Bymarken 6,Spjald,6971,6,157,1971,650000.0,25-10-2012
Ommegårdvej 6,Spjald,6971,5,168,1978,950000.0,03-10-2012
Skærmbjerg 22,Spjald,6971,4,117,1979,540000.0,14-09-2012
Skærmbjerg 40,Spjald,6971,4,109,1982,325000.0,05-09-2012
Holstebrovej 16,Spjald,6971,5,196,1918,1562000.0,21-08-2012
Fengersvej 29,Spjald,6971,4,119,1991,925000.0,21-08-2012
Tarpgårdevej 7,Spjald,6971,8,190,1950,1350000.0,03-08-2012
Hovervej 76,Spjald,6971,2,100,1951,400000.0,01-08-2012
Algade 11,Spjald,6971,6,117,1927,525000.0,13-07-2012
Holstebrovej 19,Spjald,6971,6,295,2004,3265000.0,06-07-2012
Sandbækvej 14,Spjald,6971,8,220,1963,6485000.0,29-06-2012
Feldbækvej 1,Spjald,6971,4,102,1842,1800000.0,29-06-2012
Kildsigvej 13,Spjald,6971,9,297,2016,660000.0,27-06-2012
Grønnegade 12,Spjald,6971,4,112,1961,395000.0,22-06-2012
Svalevej 8,Spjald,6971,3,125,1933,1025000.0,22-06-2012
Kratvej 7,Spjald,6971,10,407,1975,1150000.0,06-06-2012
Ådraget 39,Spjald,6971,5,162,2008,68700.0,14-05-2012
Gl Landevej 20,Spjald,6971,4,99,1931,375000.0,11-05-2012
Hovervej 89,Spjald,6971,4,100,1961,152500.0,29-04-2012
Ringkøbingvej 80,Spjald,6971,3,106,1965,845000.0,17-04-2012
Birkevej 1A,Spjald,6971,4,120,1971,590000.0,02-04-2012
Kærhusvej 18,Spjald,6971,6,120,1912,1329000.0,31-03-2012
Ådraget 17,Spjald,6971,6,217,2014,87900.0,28-03-2012
Muldbjergvej 21,Spjald,6971,6,178,1976,550000.0,20-03-2012
Teglværksvej 7,Spjald,6971,11,182,1939,2000000.0,06-03-2012
Vestergade 3,Spjald,6971,5,99,1935,482500.0,02-03-2012
Præstevej 9,Spjald,6971,7,311,2013,1400000.0,28-02-2012
Fengersvej 42,Spjald,6971,5,137,1993,1233000.0,15-02-2012
Algade 2F,Spjald,6971,5,90,1961,250000.0,10-01-2012
Skærmbjerg 14,Spjald,6971,6,175,1970,660000.0,03-01-2012
Havrevænget 4,Spjald,6971,4,86,1968,240000.0,16-12-2011
Parkvej 12,Spjald,6971,4,96,1967,850000.0,05-12-2011
Fengersvej 54,Spjald,6971,7,265,2015,250000.0,02-12-2011
Hovedgaden 54,Spjald,6971,9,244,1912,1025000.0,01-12-2011
Tarpgårdevej 1,Spjald,6971,9,219,1918,2235000.0,21-11-2011
Egevej 3,Spjald,6971,4,135,1973,990000.0,16-11-2011
Skærmbjerg 28,Spjald,6971,6,161,1979,600000.0,01-11-2011
